action,clip_count,InternVL2.5-78B-AWQ,Qwen3-VL-8B,Ovis2.5-9B,gemma-4-26B,InternVL3-9B
punch,711,57.9,46.4,43.1,45.3,41.7
none,449,68.6,60.0,68.5,76.6,55.9
shove,331,53.8,49.1,42.5,40.9,40.3
kick,284,57.7,41.8,43.3,41.2,42.3
hit with an object,208,55.7,44.7,44.6,33.6,37.3
hair grabbing,161,73.4,66.5,69.8,65.3,67.1
restrain while on feet,108,61.0,48.9,53.8,48.5,57.9
pinned down on the ground,94,63.2,59.9,52.1,57.5,54.4
slap,87,53.7,44.1,43.2,33.5,38.0
choke,86,65.3,58.5,54.2,51.3,49.7
aggressive talking,68,59.5,61.0,49.7,39.7,54.6
drag,31,55.1,55.9,48.5,43.6,44.9
grab clothing,18,69.1,44.7,69.1,56.1,53.7
chase,13,73.5,71.4,66.3,44.9,66.3
elbow,12,37.6,36.5,35.3,38.8,32.9
snatch,10,48.6,51.4,44.6,50.0,43.2
headbutt,7,52.1,47.9,39.6,37.5,41.7
lifting a person aggressively,5,78.9,65.8,60.5,44.7,60.5
tackle,2,73.3,40.0,26.7,20.0,53.3
indecent gesture,1,37.5,25.0,37.5,25.0,37.5
bodyslam,1,87.5,87.5,75.0,75.0,87.5
