 action,count,percentage,cumulative_percentage
punch,711,31.8,31.8
shove,331,14.8,46.6
kick,284,12.7,59.2
hit with an object,208,9.3,68.5
hair grabbing,161,7.2,75.7
restrain while on feet,108,4.8,80.6
pinned down on the ground,94,4.2,84.8
slap,87,3.9,88.7
choke,86,3.8,92.5
aggressive talking,68,3.0,95.5
drag,31,1.4,96.9
grab clothing,18,0.8,97.7
chase,13,0.6,98.3
elbow,12,0.5,98.8
snatch,10,0.4,99.3
headbutt,7,0.3,99.6
lifting a person aggressively,5,0.2,99.8
tackle,2,0.1,99.9
indecent gesture,1,0.0,100.0
bodyslam,1,0.0,100.0
