category,num_groups,num_clips,avg_clips_per_group
aggressive_talking,7,54,7.7
bodyslam,1,1,1.0
chase,5,13,2.6
choke,22,86,3.9
drag,6,31,5.2
elbow,1,12,12.0
grab_clothing,2,18,9.0
hair_grabbing,4,113,28.2
hairgrab,9,48,5.3
headbutt,1,7,7.0
hit_with_an_object,32,208,6.5
indecent_gesture,1,1,1.0
kick,43,284,6.6
lifting_a_person_aggresively,2,5,2.5
normal,55,449,8.2
pindown_on_ground,18,87,4.8
pinned_down_on_the_ground,3,7,2.3
punch,96,711,7.4
restrain_while_on_feet,12,108,9.0
shove,30,331,11.0
slap,15,87,5.8
snatching,4,10,2.5
tackle,2,2,1.0
talking_aggressively,3,14,4.7
