environment,count,percentage
(not annotated),1540,57.3
classroom,76,2.8
locker room,61,2.3
a hallway,54,2.0
hallway,48,1.8
a locker room,46,1.7
school hallway by lockers,43,1.6
school hallway,36,1.3
shop,28,1.0
restaurant,24,0.9
school cafeteria,24,0.9
sidewalk,19,0.7
street,19,0.7
a bathroom,19,0.7
store,18,0.7
convenience store,18,0.7
bar,16,0.6
alley,14,0.5
parking lot,12,0.4
bus,12,0.4
prison,12,0.4
fighting ring,12,0.4
elevator,11,0.4
basketball court,10,0.4
school,9,0.3
home,9,0.3
bathroom,9,0.3
yard,7,0.3
living room,7,0.3
garage,6,0.2
gas station,6,0.2
soccer field,6,0.2
football field,6,0.2
by staircase,6,0.2
call center,6,0.2
cafeteria,6,0.2
school gymnasium,6,0.2
boxing ring,5,0.2
a classroom,5,0.2
room,5,0.2
side walk,5,0.2
in woods,5,0.2
inside school,5,0.2
in alley,5,0.2
playground,5,0.2
road,5,0.2
school bathroom,5,0.2
sandlot,5,0.2
prison bathroom,5,0.2
a sidewalk,4,0.1
a street,4,0.1
an alleyway,4,0.1
a school,4,0.1
prison dormitory,4,0.1
outside of a school,4,0.1
on sidewalk,4,0.1
in living room,4,0.1
on the street,4,0.1
school gym,4,0.1
alleyway,4,0.1
by atms,4,0.1
grass field,4,0.1
inside store,4,0.1
a bar,3,0.1
kitchen,3,0.1
in a bus,3,0.1
on a sidewalk,3,0.1
shopping center,3,0.1
corridor,3,0.1
stairway,3,0.1
gym,3,0.1
hotel hallway,3,0.1
under tree,3,0.1
city street,3,0.1
office,3,0.1
house,3,0.1
driveway,3,0.1
rooftop,3,0.1
laboratory,3,0.1
school steps,3,0.1
prison holding cell,3,0.1
outside by car,3,0.1
by street,3,0.1
sidewalk in a city,3,0.1
inside a house,3,0.1
top of school staircase,3,0.1
restroom,2,0.1
jail cell,2,0.1
a jail,2,0.1
jail,2,0.1
on a bus,2,0.1
a gym,2,0.1
a parking lot,2,0.1
a kitchen,2,0.1
a rooftop,2,0.1
public house,2,0.1
roadside,2,0.1
parkway,2,0.1
top of stairs,2,0.1
hotel lobby,2,0.1
subway car,2,0.1
in school on stairs,2,0.1
diner,2,0.1
school sports court,2,0.1
in a hallway,2,0.1
subway,2,0.1
next to the street,2,0.1
outside the entrance of a building,2,0.1
outside in the snow,2,0.1
prison cell,2,0.1
outside restaurant,2,0.1
inside house,2,0.1
outside by parked motorcycles,2,0.1
on street,2,0.1
behind cash register,2,0.1
forest,2,0.1
farmers market stands,2,0.1
of a building,2,0.1
walking down sidewalk,2,0.1
dance hall,2,0.1
barn,2,0.1
school bus,2,0.1
bowling alley,2,0.1
on bus,2,0.1
inside home,2,0.1
in kitchen,2,0.1
near parked car,2,0.1
bedroom,2,0.1
outside school,2,0.1
stage,2,0.1
a music classroom,2,0.1
dumpster,2,0.1
restaurant inside arcade,2,0.1
lawn,2,0.1
steps,2,0.1
on street near cars,2,0.1
hallway with blue lockers,1,0.0
outdoor pathway at night,1,0.0
on a paved path,1,0.0
shoulder of a highway,1,0.0
indoors,1,0.0
a cell with bars,1,0.0
in a front yard,1,0.0
office room,1,0.0
a football field,1,0.0
a laundromat,1,0.0
a store,1,0.0
a pool hall,1,0.0
a game room,1,0.0
cell,1,0.0
a tunnel,1,0.0
tunnel,1,0.0
a visitation room,1,0.0
institutional common area with metal tables and cell doors,1,0.0
a basketball court,1,0.0
by a pool,1,0.0
a room,1,0.0
leaves,1,0.0
a beach,1,0.0
a front yard,1,0.0
inside a wooden structure,1,0.0
a restroom,1,0.0
in a warehouse,1,0.0
inside of a school bus,1,0.0
a bus,1,0.0
inside a school bus,1,0.0
inside a bus,1,0.0
a tiled hallway,1,0.0
parking garage,1,0.0
a boxing ring,1,0.0
a grassy area,1,0.0
club house,1,0.0
class,1,0.0
market,1,0.0
hospital,1,0.0
mall,1,0.0
basement,1,0.0
in a room,1,0.0
stadium,1,0.0
supermarket,1,0.0
outside a police station,1,0.0
hall at home,1,0.0
front yard,1,0.0
correction center,1,0.0
on bridge,1,0.0
in school hallway,1,0.0
in classroom,1,0.0
in the woods,1,0.0
behind cash register in grocery store,1,0.0
grocery store,1,0.0
boxing gym,1,0.0
stairwell,1,0.0
on street and in bus,1,0.0
