outcome,count,percentage_of_total
(no outcome field),2021,75.2
none,487,18.1
victim slapped,67,2.5
fight,28,1.0
victim fell,7,0.3
victim lifted up,4,0.1
aggressor leaves the room,4,0.1
victim's bag snatched,3,0.1
victim punched,3,0.1
aggressor is on top of victim,3,0.1
victim runs away,3,0.1
victim dropped,2,0.1
victim slapped and kicked,2,0.1
aggressor boards a bus,2,0.1
wig gets snatched off of the victims head,2,0.1
victim's book snatched,1,0.0
victim slapped and push,1,0.0
victim fell on a bench,1,0.0
victim slapped and punched,1,0.0
victim sapped,1,0.0
victim beating,1,0.0
aggresor slapped,1,0.0
victim uses taser on the aggressors,1,0.0
attempted seperation by bystanders,1,0.0
persons in black uniform attempted to seperate the aggressor and victim,1,0.0
victim pushes away from aggressor,1,0.0
victim is in closet,1,0.0
victim is pressed against wall,1,0.0
victim holds on to aggressor's tie,1,0.0
aggressor drags victims outside,1,0.0
victim is dragged across floor,1,0.0
bystanders try to intervene,1,0.0
victim is thrown into sandbox,1,0.0
victim pushes aggressor's hand away and threatens to count to one,1,0.0
blonde person wearing green shirt on top of black shirt stands waiting for victim,1,0.0
"aggressor kicks victim first, then commits the action",1,0.0
victim runs out the door,1,0.0
aggressor ends up,1,0.0
aggressor leave,1,0.0
victim unconscious,1,0.0
aggressor runs away,1,0.0
aggressor tackles victim offscreen,1,0.0
victim knocked offscreen,1,0.0
victim is knocked unconscious,1,0.0
agressors run away to the right,1,0.0
"victim is knocked to the ground, aggressor gets into car",1,0.0
aggressor walks away to the right,1,0.0
victim hits back,1,0.0
victim wakes up,1,0.0
one of the aggressors falls down laughing,1,0.0
aggressor goes after bystander,1,0.0
aggressor does a cartwheel,1,0.0
bystander tries to help up aggressor,1,0.0
aggressor walks away,1,0.0
aggressor hits victim on staircase slightly out of camera,1,0.0
the person in the grey shorts caught the person in the black shirt and black shorts,1,0.0
the person in the grey shorts caught and tackled the person in the black shirt and black shorts,1,0.0
fight breaks out,1,0.0
pulled to ground,1,0.0
victim gets tripped and pinned,1,0.0
aggressor lands on top of victim,1,0.0
victim is on top of hood of car,1,0.0
victim falls into pool,1,0.0
victim falls on top of motorcycle,1,0.0
