property,correct_count,distractor_count,total,correct_rate
no one appears to be victimized,136,0,136,100.0
punch; victim: person wearing a white shirt,10,0,10,100.0
no aggressive action is taking place,171,0,171,100.0
slap; victim: person in red jacket,13,0,13,100.0
neither an aggressor nor a victim can be identified,96,0,96,100.0
no one did anything to anyone,113,0,113,100.0
unknown action,266,0,266,100.0
no aggressive interaction occurred,97,0,97,100.0
no individual displays aggressive behavior,137,0,137,100.0
no action; victim: no one appears to be victimized,217,0,217,100.0
no sequences describe the video,110,0,110,100.0
hair grabbing; victim: person in yellow,91,3,94,96.8
punch; victim: person in a white shirt,16,1,17,94.1
aggressive talking; victim: person in the black jacket and w,13,1,14,92.9
many,11,1,12,91.7
choke; victim: person in black t-shirt,10,1,11,90.9
the action of hair grabbing was carried out by person in ora,16,2,18,88.9
punch; victim: person in a black shirt,10,2,12,83.3
choke; victim: person in black jacket,7,3,10,70.0
person in violet shirt and khaki pants,7,6,13,53.8
no aggressor described and no victim described,102,96,198,51.5
a group of people,8,8,16,50.0
punch,659,860,1519,43.4
aggressor,920,1317,2237,41.1
victim,915,1322,2237,40.9
the action of hit with an object was carried out by person w,5,8,13,38.5
person in brown pants,4,7,11,36.4
the action of punch,93,180,273,34.1
person with long hair wearing black tank top and black pants,4,8,12,33.3
person lying on ground,4,9,13,30.8
person wearing black clothes,3,7,10,30.0
person in dark grey jacket,3,7,10,30.0
person in the white shirt is the aggressor and person in the,3,7,10,30.0
"person in brown shirt, white undershirt, and black pants, an",3,7,10,30.0
person wearing a black hoodie and black pants,3,7,10,30.0
person in a black suit,6,14,20,30.0
person wearing a black jacket and black jeans,5,12,17,29.4
person in a white shirt and dark pants,9,22,31,29.0
person with long dark hair wearing a white tank top and whit,4,10,14,28.6
many people,6,15,21,28.6
person wearing a brown shirt,5,13,18,27.8
the action of shove,48,126,174,27.6
person in black officer uniform,3,8,11,27.3
person wearing a blue long sleeved shirt and blue shorts,3,8,11,27.3
person wearing black leather jacket and black pants,3,8,11,27.3
person wearing white jacket,3,8,11,27.3
person,3,8,11,27.3
"person wearing a grey shirt, tie, and brown pants",3,8,11,27.3
person wearing a grey sweatshirt and dark sweatpants,3,8,11,27.3
person wearing a grey shirt,3,8,11,27.3
the action of kick,44,119,163,27.0
person wearing a blue shirt and dark blue jeans,4,11,15,26.7
person in black trousers,9,26,35,25.7
shove,307,895,1202,25.5
person in black shirt and white trousers,6,18,24,25.0
person in a white t-shirt,3,9,12,25.0
person wearing a navy blue shirt and khaki pants,3,9,12,25.0
person wearing dark clothing,7,21,28,25.0
two people lying on ground underneath aggressors,3,9,12,25.0
person in green shirt and blue pants,5,15,20,25.0
person wearing white long sleeved shirt and black pants,3,9,12,25.0
person shirtless,3,9,12,25.0
person in dark shirt and light pants,3,9,12,25.0
person with white blonde hair wearing a dark colored jacket ,3,9,12,25.0
person in dark grey clothings,7,21,28,25.0
person with dark hair,8,24,32,25.0
person in grey and black shirt,4,12,16,25.0
person wearing a black police uniform,3,9,12,25.0
person in white coat and black pants with brown shirt,3,9,12,25.0
person wearing black jacket and black pants,6,18,24,25.0
person in a light colored shirt,4,12,16,25.0
person wearing white t-shirt,6,19,25,24.0
person wearing white t-shirt and white shoes,6,19,25,24.0
person in dark blue shirt,4,13,17,23.5
"person wearing white t-shirt, black pants, and white shoes a",3,10,13,23.1
"brunette person wearing red sweatshirt, black pants, and red",3,10,13,23.1
person wearing a light colored shirt with the number '27' on,3,10,13,23.1
people wearing ski glasses,3,10,13,23.1
person with hair in bun wearing white pants and white shirt,3,10,13,23.1
person in a dark uniform and person in a dark uniform,3,10,13,23.1
person wearing white shirt and black hat and two people wear,3,10,13,23.1
person wearing a white shirt and jeans,6,20,26,23.1
"a person wearing a leather jacket, a gray sweater with a whi",3,10,13,23.1
person in a maroon shirt,3,10,13,23.1
blonde person wearing light blue hoodie,6,20,26,23.1
person wearing a black hoodie and red plaid pants,3,10,13,23.1
person in blue jeans,6,20,26,23.1
person wearing white t-shirt and white shoes (aggressor) did,3,10,13,23.1
shirtless brunette person wearing black and grey shorts,3,10,13,23.1
shirtless person wearing red shorts,7,24,31,22.6
"person in orange, blue, and white shirt with a pink scarf (a",16,55,71,22.5
person wearing black shirt and black pants,8,28,36,22.2
dark-haired person wearing a blue jacket and gray pants,4,14,18,22.2
"a person wearing dark jacket, white shirt, and red and yello",4,14,18,22.2
person in white,4,14,18,22.2
a person with pigtails wearing a light colored jacket and or,4,14,18,22.2
person wearing all black,8,29,37,21.6
person wearing black suit and white shirt with no tie and li,3,11,14,21.4
person wearing brown suit,3,11,14,21.4
person in blue hoodie,3,11,14,21.4
"person wearing baseball cap, green sweater, and tan pants",3,11,14,21.4
person wearing bright blue pants,3,11,14,21.4
person wearing black pants,3,11,14,21.4
