model,true_role,aggressor,victim,bystander,unknown/cross-video,total
InternVL2.5-78B-AWQ,aggressor,68.8%,17.8%,1.0%,12.4%,1520
InternVL2.5-78B-AWQ,victim,21.0%,61.9%,0.9%,16.3%,1483
Qwen3-VL-8B,aggressor,58.0%,20.5%,1.5%,20.1%,1520
Qwen3-VL-8B,victim,21.7%,50.0%,0.9%,27.4%,1482
Ovis2.5-9B,aggressor,61.0%,22.6%,1.9%,14.5%,1520
Ovis2.5-9B,victim,23.8%,54.0%,1.3%,20.9%,1483
gemma-4-26B,aggressor,59.0%,19.0%,1.8%,20.2%,1519
gemma-4-26B,victim,24.4%,46.9%,1.1%,27.7%,1481
InternVL3-9B,aggressor,58.4%,20.9%,1.3%,19.3%,1520
InternVL3-9B,victim,23.7%,51.4%,0.8%,24.1%,1483
