Method,,,,,,,,,
,Baseline Zero-shot,Retrieval Augmented,SFT,CoT,DPO,ADPO,Adaptive ADPO,Curriculum ADPO,
Independent,,,,,,,,
5% train data,49.41%,49.12%,65.92%,66.96%*,50.05%,49.47%,49.66%,
10% train data,49.41%,49.12%,65.47%,,,,,
20% train data,49.42%,49.12%,65.23%,65.77%,50.05%,49.50%,,
,,,,,,,,
Dependent,,,,,,,,,
5% train data,49.41%,,65.51%,65.56%,,,64.97%,,
10% train data,49.41%,,65.31%,65.47%,,,65.24%,,
20% train data,49.42%,,65.28%,65.66%,,,65.32%,65.30%,
,,,,,,,,
Notes:,,,,,,,,
"* 5% CoT standalone evaluated only 10000/12205 questions, may need re-run",,,,,,,,
"Baseline zero-shot is the same model (InternVL2.5-8B) with no training, evaluated on the full question bank",,,,,,,,
"RAP uses the 5% test split (12205 questions), zero-shot uses the full bank (15004 questions)",,,,,,,,
"Dependent = progressive pipeline (SFT -> CoT -> ADPO chained)",,,,,,,,
"Independent = each method trained from base model independently",,,,,,,,
"All dependent results are deduplicated (checkpoint bug corrected)",,,,,,,,
